player_id,pts_u10,xpts_u10,pts_o10,xpts_o10,pts_3p,xpts_3p,Pts,xPts,Player,Diff,Diff_u10,Diff_o10,Diff_3p
201142,226.0,192.67859,392.0,267.7731,222.0,182.41049,840.0,642.8622,Kevin Durant,197.1378173828125,33.3214111328125,124.22689819335938,39.589508056640625
1628378,460.0,409.7822,240.0,200.06024,543.0,467.65887,1243.0,1077.5013,Donovan Mitchell,165.4986572265625,50.217803955078125,39.93975830078125,75.34112548828125
202681,374.0,334.58844,274.0,207.98071,435.0,390.16446,1083.0,932.7336,Kyrie Irving,150.26641845703125,39.41156005859375,66.019287109375,44.835540771484375
203999,682.0,591.9085,158.0,113.50367,135.0,121.17819,975.0,826.59033,Nikola Jokic,148.40966796875,90.09149169921875,44.49633026123047,13.821807861328125
201939,332.0,298.22476,124.0,119.50117,573.0,464.00806,1029.0,881.734,Stephen Curry,147.2659912109375,33.775238037109375,4.498832702636719,108.991943359375
202695,260.0,238.22314,306.0,250.28667,264.0,210.32065,830.0,698.83044,Kawhi Leonard,131.1695556640625,21.77685546875,55.71333312988281,53.679351806640625
203954,578.0,516.1232,390.0,327.265,159.0,161.58983,1127.0,1004.9781,Joel Embiid,122.02191162109375,61.87677001953125,62.7349853515625,-2.5898284912109375
1630169,344.0,317.2088,106.0,86.431946,414.0,345.32806,864.0,748.9688,Tyrese Haliburton,115.03118896484375,26.79119873046875,19.56805419921875,68.67193603515625
1629029,496.0,404.95605,218.0,197.22781,396.0,392.8206,1110.0,995.00446,Luka Doncic,114.99554443359375,91.0439453125,20.772186279296875,3.179412841796875
201942,366.0,312.29184,476.0,421.92667,99.0,106.96275,941.0,841.1813,DeMar DeRozan,99.8187255859375,53.708160400390625,54.073333740234375,-7.9627532958984375
1626164,358.0,332.89148,328.0,263.73248,267.0,260.39288,953.0,857.01685,Devin Booker,95.983154296875,25.1085205078125,64.26751708984375,6.60711669921875
1628989,286.0,262.5764,110.0,97.09566,429.0,374.74792,825.0,734.4199,Kevin Huerter,90.580078125,23.423614501953125,12.904342651367188,54.2520751953125
1628368,528.0,446.1884,308.0,281.8984,285.0,302.4964,1121.0,1030.5831,De'Aaron Fox,90.4168701171875,81.81161499023438,26.101593017578125,-17.49639892578125
1630559,210.0,174.4101,96.0,81.02755,189.0,151.15106,495.0,406.5887,Austin Reaves,88.41128540039062,35.58990478515625,14.972450256347656,37.84893798828125
1627734,692.0,624.77295,90.0,72.0805,72.0,70.74333,854.0,767.5968,Domantas Sabonis,86.4031982421875,67.22705078125,17.91950225830078,1.2566680908203125
1627741,248.0,261.00836,92.0,91.195786,519.0,420.6003,859.0,772.80444,Buddy Hield,86.195556640625,-13.00836181640625,0.8042144775390625,98.39968872070312
1629008,248.0,236.78822,118.0,107.789795,375.0,312.29462,741.0,656.8726,Michael Porter Jr.,84.12738037109375,11.211776733398438,10.210205078125,62.70538330078125
203081,342.0,312.52002,142.0,113.76371,546.0,519.61255,1030.0,945.8963,Damian Lillard,84.10369873046875,29.47998046875,28.236289978027344,26.387451171875
203078,376.0,342.48306,244.0,205.65631,192.0,181.96875,812.0,730.10815,Bradley Beal,81.891845703125,33.516937255859375,38.34368896484375,10.03125
1628379,46.0,53.20561,60.0,51.928967,297.0,216.06776,403.0,321.20233,Luke Kennard,81.79766845703125,-7.205608367919922,8.071033477783203,80.93223571777344
203897,528.0,476.74988,208.0,204.13283,447.0,423.73465,1183.0,1104.6174,Zach LaVine,78.382568359375,51.2501220703125,3.8671722412109375,23.265350341796875
1626156,262.0,242.02087,172.0,150.93188,408.0,372.6613,842.0,765.614,D'Angelo Russell,76.385986328125,19.9791259765625,21.068115234375,35.338714599609375
201935,218.0,226.15332,114.0,98.3421,402.0,333.96158,734.0,658.45703,James Harden,75.54296875,-8.1533203125,15.65789794921875,68.03842163085938
1627750,316.0,302.5535,202.0,203.38094,405.0,341.59644,923.0,847.5309,Jamal Murray,75.4691162109375,13.446502685546875,-1.3809356689453125,63.403564453125
203992,122.0,116.12867,110.0,101.83582,309.0,248.6085,541.0,466.573,Bogdan Bogdanovic,74.427001953125,5.871330261230469,8.164176940917969,60.39149475097656
1628983,534.0,519.9408,346.0,287.80304,153.0,152.13834,1033.0,959.8822,Shai Gilgeous-Alexander,73.1177978515625,14.0592041015625,58.19696044921875,0.861663818359375
1629636,394.0,394.3236,210.0,199.82257,411.0,348.36505,1015.0,942.5112,Darius Garland,72.48876953125,-0.3236083984375,10.17742919921875,62.63494873046875
1629014,286.0,261.77847,148.0,137.32458,435.0,400.60068,869.0,799.70374,Anfernee Simons,69.2962646484375,24.221527099609375,10.6754150390625,34.399322509765625
1628976,324.0,272.931,84.0,83.99462,138.0,122.72728,546.0,479.6529,Wendell Carter Jr.,66.34710693359375,51.069000244140625,0.00537872314453125,15.272720336914062
1630217,364.0,361.75607,116.0,104.62043,396.0,343.93497,876.0,810.31146,Desmond Bane,65.68853759765625,2.243927001953125,11.379570007324219,52.065032958984375
1629651,632.0,568.66113,14.0,9.7860155,0.0,2.239941,646.0,580.6871,Nicolas Claxton,65.31292724609375,63.3388671875,4.213984489440918,-2.239940881729126
202711,268.0,257.7367,188.0,163.95847,276.0,246.67725,732.0,668.37244,Bojan Bogdanovic,63.6275634765625,10.2633056640625,24.041534423828125,29.32275390625
201950,366.0,332.3107,152.0,139.92525,351.0,334.44022,869.0,806.67615,Jrue Holiday,62.3238525390625,33.689300537109375,12.074752807617188,16.559783935546875
